redshift,lum_dist
3.9,34790.17680103055
3.91,34896.174389834334
3.92,35002.20962773274
3.93,35108.282389927896
3.94,35214.39255234214
3.95,35320.53999161194
3.96,35426.72458508194
3.97,35532.94621079912
3.98,35639.204747506956
3.99,35745.50007463964
4.0,35851.83207231645
4.01,35958.200621336044
4.0200000000000005,36064.60560317093
4.03,36171.046899961926
4.04,36277.52439451273
4.05,36384.03797028456
4.0600000000000005,36490.5875113907
4.07,36597.17290259134
4.08,36703.794029288256
4.09,36810.45077751978
4.1,36917.14303395547
4.11,37023.8706858913
4.12,37130.63362124438
4.13,37237.43172854824
4.14,37344.26489694782
4.15,37451.13301619459
4.16,37558.035976641775
4.17,37664.973669239655
4.18,37771.94598553078
4.19,37878.95281764538
4.2,37985.99405829669
4.21,38093.06960077645
4.22,38200.17933895037
4.23,38307.3231672537
4.24,38414.500980686695
4.25,38521.71267481038
4.26,38628.958145742115
4.2700000000000005,38736.2372901514
4.28,38843.55000525555
4.29,38950.89618881551
4.3,39058.2757391317
4.3100000000000005,39165.68855503996
4.32,39273.13453590734
4.33,39380.613581628226
4.34,39488.1255926202
4.3500000000000005,39595.67046982019
4.36,39703.24811468045
4.37,39810.85842916479
4.38,39918.5013157447
4.39,40026.176677395524
4.4,40133.884417592686
4.41,40241.624440307976
4.42,40349.39665000593
4.43,40457.200951640065
4.44,40565.037250649344
4.45,40672.90545295449
4.46,40780.8054649546
4.47,40888.73719352347
4.48,40996.7005460062
4.49,41104.69543021571
4.5,41212.721754429374
4.51,41320.77942738556
4.5200000000000005,41428.868358280364
4.53,41536.98845676422
4.54,41645.139632938706
4.55,41753.32179735317
4.5600000000000005,41861.53486100164
4.57,41969.778735319436
4.58,42078.053332180294
4.59,42186.35856389296
4.6000000000000005,42294.69434319822
4.61,42403.060583265826
4.62,42511.457197691394
4.63,42619.88410049342
4.64,42728.341206110345
4.65,42836.82842939747
4.66,42945.34568562412
4.67,43053.89289047067
4.68,43162.46996002579
4.69,43271.076810783416
4.7,43379.71335964003
4.71,43488.37952389188
4.72,43597.07522123212
4.73,43705.800369748096
4.74,43814.55488791865
4.75,43923.33869461139
4.76,44032.151709080004
4.7700000000000005,44140.993850961684
4.78,44249.865040274344
4.79,44358.76519741416
4.8,44467.69424315294
4.8100000000000005,44576.6520986356
4.82,44685.638685377475
4.83,44794.653925262064
4.84,44903.69774053833
4.8500000000000005,45012.77005381828
4.86,45121.87078807462
4.87,45230.99986663821
4.88,45340.15721319568
4.89,45449.342751787124
4.9,45558.55640680368
4.91,45667.79810298515
4.92,45777.067765417785
4.93,45886.36531953194
4.94,45995.69069109975
4.95,46105.0438062329
4.96,46214.42459138044
4.97,46323.83297332647
4.98,46433.268879188035
4.99,46542.732236412856
5.0,46652.22297277721
5.01,46761.741016383814
5.0200000000000005,46871.28629565965
5.03,46980.858739353855
5.04,47090.45827653569
5.05,47200.08483659237
5.0600000000000005,47309.738349227155
5.07,47419.41874445714
5.08,47529.1259526114
5.09,47638.85990432885
5.1000000000000005,47748.62053055633
5.11,47858.40776254667
5.12,47968.221531856616
5.13,48078.061770345055
5.14,48187.928410170956
5.15,48297.82138379156
5.16,48407.74062396043
5.17,48517.68606372559
5.18,48627.6576364277
5.19,48737.65527569823
5.2,48847.67891545754
5.21,48957.72848991318
5.22,49067.803933558
5.23,49177.905181168484
5.24,49288.03216780281
5.25,49398.18482879931
5.26,49508.363099774535
5.2700000000000005,49618.56691662168
5.28,49728.796215508795
5.29,49839.05093287708
5.3,49949.331005439286
5.3100000000000005,50059.63637017796
5.32,50169.96696434384
5.33,50280.32272545413
5.34,50390.703591291065
5.3500000000000005,50501.10949990008
5.36,50611.540389588285
5.37,50721.99619892296
5.38,50832.476866729856
5.39,50942.98233209169
5.4,51053.51253434659
5.41,51164.06741308655
5.42,51274.646908155904
5.43,51385.25095964982
5.44,51495.879507912774
5.45,51606.532493537045
5.46,51717.20985736134
5.47,51827.91154046917
5.48,51938.63748418753
5.49,52049.38763008535
5.5,52160.161919972146
5.51,52270.96029589653
5.5200000000000005,52381.78270014488
5.53,52492.629075239805
